StudentID,attendance_rate,tardy_rate,total_days,schoolid,mat_teacher_1,mat_teacher_2,ela_teacher_1,ela_teacher_2,is_teacher_change_mat,is_teacher_change_ela,duration_2015_Fall_mathematics,duration_2015_Fall_reading,duration_2015_Spring_mathematics,duration_2015_Spring_reading,duration_2015_Winter_mathematics,duration_2015_Winter_reading,duration_2016_Fall_mathematics,duration_2016_Fall_reading,duration_2016_Winter_mathematics,duration_2016_Winter_reading,rit_2015_Fall_mathematics,rit_2015_Fall_reading,rit_2015_Spring_mathematics,rit_2015_Spring_reading,rit_2015_Winter_mathematics,rit_2015_Winter_reading,rit_2016_Fall_mathematics,rit_2016_Fall_reading,rit_2016_Winter_mathematics,rit_2016_Winter_reading,percentile_2015_Fall_mathematics,percentile_2015_Fall_reading,percentile_2015_Spring_mathematics,percentile_2015_Spring_reading,percentile_2015_Winter_mathematics,percentile_2015_Winter_reading,percentile_2016_Fall_mathematics,percentile_2016_Fall_reading,percentile_2016_Winter_mathematics,percentile_2016_Winter_reading,ftf_2015_Fall_mathematics,ftf_2015_Fall_reading,math_growth,ftf_math_target,met_math_growth,reading_growth,ftf_reading_target,met_reading_growth,grade_2015_x,school_2015_x,grade_2015_y,grade_2015,school_2015_y,school_2015,grade_2016_x,school_2016_x,grade_2016_y,school_2016_y
127,0.9705882352941176,0.01818181818181818,170,School B,3143,,3139,,False,False,50.0,20.0,47.0,38.0,42.0,33.0,44.0,65.0,65.0,73.0,198.0,183.0,210.0,189.0,202.0,190.0,198.0,212.0,213.0,201.0,15.0,4.0,23.0,5.0,14.0,8.0,10.0,51.0,30.0,19.0,8.0,7.0,0.0,8.0,False,29.0,7.0,True,5.0,School B,5.0,5.0,School B,School B,6.0,School B,6.0,School B
802,1.0,0.007575757575757576,132,School A,3199,3164,,,True,False,39.0,37.0,51.0,61.0,62.0,36.0,44.0,61.0,53.0,61.0,190.0,189.0,207.0,202.0,199.0,185.0,206.0,196.0,207.0,211.0,43.0,48.0,62.0,58.0,52.0,25.0,59.0,42.0,47.0,70.0,12.0,10.0,16.0,12.0,True,7.0,10.0,False,3.0,School A,3.0,3.0,School A,School A,4.0,School A,4.0,School A
803,0.9882352941176471,0.017857142857142856,170,School B,3143,,3139,,False,False,80.0,112.0,35.0,65.0,77.0,54.0,61.0,64.0,42.0,36.0,199.0,187.0,214.0,199.0,209.0,193.0,208.0,198.0,208.0,197.0,16.0,8.0,32.0,18.0,27.0,12.0,26.0,18.0,20.0,12.0,8.0,6.0,9.0,8.0,True,11.0,6.0,True,5.0,School B,5.0,5.0,School B,School B,6.0,School B,6.0,School B
805,1.0,0.005917159763313609,169,School B,5212,,4061,,False,False,38.0,42.0,56.0,67.0,50.0,72.0,71.0,58.0,68.0,51.0,215.0,203.0,226.0,223.0,219.0,216.0,219.0,216.0,227.0,217.0,38.0,26.0,51.0,67.0,40.0,55.0,40.0,53.0,53.0,51.0,6.0,5.0,4.0,6.0,False,13.0,5.0,True,6.0,School B,6.0,6.0,School B,School B,7.0,School B,7.0,School B
806,0.9940828402366864,0.1488095238095238,169,School B,5212,,4061,,False,False,98.0,,92.0,135.0,,39.0,118.0,99.0,157.0,89.0,213.0,,226.0,212.0,,211.0,227.0,211.0,234.0,218.0,33.0,,51.0,38.0,,41.0,59.0,40.0,69.0,54.0,6.0,,14.0,6.0,True,,,False,6.0,School B,6.0,6.0,School B,School B,7.0,School B,7.0,School B
810,1.0,0.0,169,School B,5212,,4061,,False,False,,60.0,68.0,70.0,53.0,85.0,61.0,63.0,113.0,85.0,,192.0,221.0,214.0,218.0,221.0,220.0,216.0,216.0,220.0,,8.0,39.0,43.0,38.0,68.0,43.0,53.0,28.0,59.0,,5.0,,,False,24.0,5.0,True,6.0,School B,6.0,6.0,School B,School B,7.0,School B,7.0,School B
811,0.9470588235294117,0.09937888198757763,170,School B,3143,,3139,,False,False,6.0,64.0,41.0,59.0,17.0,13.0,54.0,69.0,54.0,33.0,148.0,164.0,215.0,181.0,177.0,153.0,194.0,173.0,196.0,177.0,1.0,1.0,34.0,1.0,1.0,1.0,6.0,1.0,5.0,1.0,7.0,8.0,46.0,7.0,True,9.0,8.0,True,5.0,School B,5.0,5.0,School B,School B,6.0,School B,6.0,School B
812,0.9881656804733728,0.0,169,School B,5212,,4061,,False,False,44.0,47.0,63.0,56.0,49.0,68.0,49.0,60.0,55.0,80.0,210.0,202.0,216.0,207.0,215.0,202.0,215.0,209.0,213.0,211.0,27.0,24.0,27.0,26.0,31.0,20.0,31.0,35.0,23.0,35.0,6.0,5.0,5.0,6.0,False,7.0,5.0,True,6.0,School B,6.0,6.0,School B,School B,7.0,School B,7.0,School B
813,1.0,0.0,169,School B,5212,,4061,,False,False,48.0,48.0,72.0,78.0,54.0,57.0,83.0,80.0,98.0,87.0,225.0,207.0,229.0,220.0,231.0,216.0,231.0,225.0,241.0,222.0,64.0,36.0,58.0,60.0,70.0,55.0,68.0,75.0,82.0,64.0,6.0,4.0,6.0,6.0,True,18.0,4.0,True,6.0,School B,6.0,6.0,School B,School B,7.0,School B,7.0,School B
814,1.0,0.017964071856287425,167,School B,5212,,4061,,False,False,48.0,52.0,45.0,74.0,58.0,59.0,66.0,58.0,74.0,81.0,218.0,215.0,237.0,225.0,229.0,213.0,231.0,219.0,235.0,224.0,46.0,57.0,76.0,72.0,65.0,46.0,68.0,61.0,71.0,69.0,6.0,4.0,13.0,6.0,True,4.0,4.0,True,6.0,School B,6.0,6.0,School B,School B,7.0,School B,7.0,School B
